Station,Type,line,Longitude,Latitude,Aliases
"Rottenschwil, Seematten",bus station,231|245,8.3644217,47.3163319,rottenschwilseematten|seematten
"Rudolfingen, Dorf",bus station,621|630|N69,8.6742849,47.6401212,rudolfingendorf
Rudolfstetten,train station,N32|S17,8.382571,47.3672854,
Rudolfstetten Hofacker,train station,N32|S17,8.3638507,47.356643,rudolfstettenhofacker
"Rudolfstetten, Bahnhof",bus station,EV1,8.3811,47.3695,rudolfstettenbahnhof
"Rudolfstetten, Hofacker Bhf",bus station,EV1,8.3768,47.3647,hofacker bhf|hofackerbhf|rudolfstettenhofackerbhf
"Rumlikon, Dorfstrasse",bus station,826|831|832|N82,8.7608522,47.4093341,rumlikon dorfstr|rumlikondorfstrasse
"Rumlikon, Stuketen",bus station,826|831|832|N82,8.7628542,47.4040488,rumlikonstuketen|stuketen
"Russikon, Dorf",bus station,825,8.7771536,47.3946727,russikondorf
"Russikon, Gemeindehaus",bus station,826|831|832|N82,8.776414,47.3947622,russikongemeindehaus
"Russikon, Kirche",bus station,826|831|832|N82,8.7730614,47.3963122,russikonkirche
"Russikon, Morgenthal",bus station,832,8.7719105,47.3916119,morgenthal|russikonmorgenthal
"Russikon, Platte",bus station,826|831|832|N82,8.7704379,47.4000037,russikonplatte
"Russikon, Tüfi",bus station,825|826|831,8.7748986,47.3913884,russikontufi|tufi
"Russikon, Wilhof",bus station,825|826|831,8.7785689,47.3845813,russikonwilhof|wilhof
Rutschwil,bus station,676|N58,8.7294221,47.5575517,
Rämismühle-Zell,train station,S11|S26,8.8193559,47.4415285,ramismuhlezell
"Rämismühle-Zell, Bahnhof",bus station,EV2,8.8189181,47.4415157,ramismuhlezellbahnhof
Räterschen,train station,S12|S35|SN21,8.7950792,47.4987922,
"Räterschen, Bahnhof",bus station,EV1|EV4,8.7948598,47.4985159,raterschenbahnhof
"Rüdlingen, Brückenwaage",bus station,675,8.5713133,47.5807288,rudlingenbruckenwaage
"Rüdlingen, Gemeindehaus",bus station,675,8.5722562,47.5788217,rudlingengemeindehaus
"Rüdlingen, Sandgruben",bus station,675,8.5678287,47.5881473,rudlingensandgruben|sandgruben
"Rüdlingen, Spitzrüti",bus station,675,8.5657726,47.590245,rudlingenspitzruti
"Rüdlingen, Steinenkreuz",bus station,675,8.5630182,47.5813581,rudlingensteinenkreuz|steinenkreuz
Rümikon AG,train station,S36,8.3741286,47.5652359,rumikonag
"Rümikon AG, Bahnhof",bus station,354|EV1,8.3746937,47.5656361,rumikonagbahnhof
"Rümikon AG, Schulhaus",bus station,354,8.3775,47.5656,rumikonagschulhaus
Rümlang,train station,S|S9|S15|SN9,8.5329301,47.454065,
